location,total_deaths,population,Deaths_per_100000
Saint Kitts and Nevis,46,47681,96.4744866928127
Antigua and Barbuda,146,93772,155.6967964850915
Puerto Rico,5854,3252412,179.9894970255921
Finland,9028,5540745,162.9383774203650
Sao Tome and Principe,78,227393,34.3018474623229
Martinique,1093,367512,297.4052547944013
Falkland Islands,NULL,3801,NULL
Rwanda,1468,13776702,10.6556707113212
Bahrain,1536,1472237,104.3310282243959
South Korea,34223,51815808,66.0474116316009
Eswatini,1425,1201680,118.5839824246056
Northern Mariana Islands,41,49574,82.7046435631581
Gambia,372,2705995,13.7472537828045
Liberia,294,5302690,5.5443557892315
Guatemala,20184,17843914,113.1141968068216
Andorra,159,79843,199.1408138471751
Vietnam,43186,98186856,43.9834838993113
Saint Barthelemy,5,10994,45.4793523740222
New Zealand,2662,5185289,51.3375435776097
Angola,1933,35588996,5.4314541494792
Nauru,1,12691,7.8795997163344
Uganda,3632,47249588,7.6868395127593
Monaco,67,36491,183.6069167739991
Egypt,24821,110990096,22.3632566278707
Kyrgyzstan,2991,6630621,45.1088970399605
Mali,743,22593598,3.2885421790721
Scotland,NULL,5466000,NULL
Azerbaijan,10171,10358078,98.1938927279752
Italy,188933,59037472,320.0221716810639
Brazil,699917,215313504,325.0687889970896
Guinea-Bissau,176,2105580,8.3587420093276
Democratic Republic of Congo,1464,99010216,1.4786352955739
Bermuda,163,64207,253.8664008597193
Netherlands,22992,17564020,130.9039730084571
Palau,9,18084,49.7677504976775
Namibia,4090,2567024,159.3284675172495
Greenland,21,56494,37.1720890714058
Jordan,14122,11285875,125.1298636570049
Cameroon,1968,27914542,7.0500888031765
Belarus,7118,9534956,74.6516292261863
Madagascar,1424,29611718,4.8089070684788
Marshall Islands,17,41593,40.8722621594980
Hong Kong,NULL,7488863,NULL
Cayman Islands,37,68722,53.8401094263846
Faeroe Islands,28,53117,52.7138204341360
Guadeloupe,1010,395762,255.2038851633052
Wales,NULL,3170000,NULL
Bolivia,22373,12224114,183.0234894733475
Malaysia,36972,33938216,108.9391381090862
San Marino,123,33690,365.0934995547640
Sri Lanka,16834,21832150,77.1064691292429
Western Sahara,NULL,576005,NULL
Gibraltar,111,32677,339.6884658934419
Indonesia,161013,275501344,58.4436350335917
Jamaica,3528,2827382,124.7797432395057
Germany,170493,83369840,204.5020117586888
Uzbekistan,1637,34627648,4.7274362959910
Philippines,66332,115559008,57.4009773431077
Lithuania,9631,2750058,350.2107955541301
Cuba,8530,11212198,76.0778573478635
England,NULL,56550000,NULL
Iceland,260,372903,69.7232256109498
Senegal,1971,17316452,11.3822392716476
Saint Martin (French part),46,31816,144.5813427206437
Barbados,579,281646,205.5772139494259
United States Virgin Islands,130,99479,130.6808472139849
Turks and Caicos Islands,38,45726,83.1037046756769
Guernsey,67,63329,105.7967124066383
Kuwait,2570,4268886,60.2030600020708
Cyprus,1345,896007,150.1104344050884
Hungary,48707,9967304,488.6677480690867
Malawi,2686,20405318,13.1632351919240
Switzerland,13965,8740471,159.7739984492827
United States,1117054,338289856,330.2061768000516
Estonia,2965,1326064,223.5940346770593
Algeria,6881,44903228,15.3240653433646
Palestine,5708,5250076,108.7222356400174
Aruba,286,106459,268.6480241219624
Comoros,161,836783,19.2403526362271
Ecuador,36017,18001002,200.0833064737174
Nigeria,3155,218541216,1.4436636062279
Samoa,31,222390,13.9394756958496
Curacao,301,191173,157.4490121512975
North Macedonia,9666,2093606,461.6914548391627
El Salvador,4230,6336393,66.7572229184648
Malta,832,533293,156.0117983922534
Mongolia,2136,3398373,62.8536067112115
Bahamas,833,409989,203.1761827756354
Bosnia and Herzegovina,16306,3233530,504.2786057342904
Lebanon,10863,5489744,197.8780795607227
Montenegro,2808,627082,447.7883275233542
Ethiopia,7573,123379928,6.1379513854150
Iraq,25375,44496124,57.0274390641306
Saudi Arabia,9629,36408824,26.4468855132481
American Samoa,34,44295,76.7580991082515
Chad,194,17723312,1.0946035368559
Laos,758,7529477,10.0671002780140
Macao,NULL,695180,NULL
Australia,19511,26177410,74.5337296546908
Kosovo,3202,1782115,179.6741512191974
Mauritius,1044,1299478,80.3399518883736
Belize,688,405285,169.7570845207693
United Kingdom,210396,67508936,311.6565190717863
Mexico,333449,127504120,261.5201767597784
Albania,3601,2842318,126.6923686934397
Myanmar,19490,54179312,35.9731404488857
Sierra Leone,126,8605723,1.4641419436810
Sweden,23851,10549349,226.0897805163143
Honduras,11111,10432858,106.5000597151806
Kenya,5688,54027484,10.5279749839915
Nicaragua,245,6948395,3.5259941324579
Ukraine,111558,39701744,280.9901751419283
Trinidad and Tobago,4368,1531043,285.2957101792699
Liechtenstein,87,39355,221.0646677677551
China,120894,1425887360,8.4785098312394
Argentina,130472,45510324,286.6865988473297
Fiji,883,929769,94.9698258384610
Solomon Islands,153,724272,21.1246603485983
Reunion,921,974062,94.5525028180958
