location,total_cases,total_deaths,Mortality_Rate
Saint Kitts and Nevis,6598,46,0.6971809639284632
Antigua and Barbuda,9106,146,1.6033384581594553
Puerto Rico,1106985,5854,0.5288237871335203
Finland,1465256,9028,0.6161380673411336
Sao Tome and Principe,6437,78,1.2117446015224483
Martinique,229364,1093,0.4765351144905042
Falkland Islands,1923,NULL,NULL
Rwanda,133194,1468,1.1021517485772632
Bahrain,696614,1536,0.2204951379099473
South Korea,30773460,34223,0.1112094642591376
Eswatini,74323,1425,1.9173068901954980
Northern Mariana Islands,13748,41,0.2982251963922025
Gambia,12598,372,2.9528496586759803
Liberia,8090,294,3.6341161928306551
Guatemala,1243484,20184,1.6231813195827208
Andorra,47917,159,0.3318237786171922
Vietnam,11527210,43186,0.3746439945138503
Saint Barthelemy,5467,5,0.0914578379367112
New Zealand,2206394,2662,0.1206493491189697
Angola,105316,1933,1.8354286148353527
Nauru,5393,1,0.0185425551641016
Uganda,170491,3632,2.1303177293816096
Monaco,16164,67,0.4145013610492452
Egypt,515882,24821,4.8113715927285697
Kyrgyzstan,206805,2991,1.4462899833176180
Mali,33107,743,2.2442383785906304
Scotland,NULL,NULL,NULL
Azerbaijan,829420,10171,1.2262786043259145
Italy,25673442,188933,0.7359083367162066
Brazil,37204677,699917,1.8812607887981395
Guinea-Bissau,9230,176,1.9068255687973998
Democratic Republic of Congo,95895,1464,1.5266697950883779
Bermuda,18849,163,0.8647673616637487
Netherlands,8608123,22992,0.2670965551955984
Palau,5997,9,0.1500750375187594
Namibia,171222,4090,2.3887117309691512
Greenland,11971,21,0.1754239411912121
Jordan,1746997,14122,0.8083585718807760
Cameroon,124741,1968,1.5776689300230077
Belarus,994037,7118,0.7160699249625517
Madagascar,68049,1424,2.0926097371012065
Marshall Islands,15723,17,0.1081218596959868
Hong Kong,NULL,NULL,NULL
Cayman Islands,31472,37,0.1175648195221149
Faeroe Islands,34658,28,0.0807894281262623
Guadeloupe,202058,1010,0.4998564768531808
Wales,NULL,NULL,NULL
Bolivia,1195651,22373,1.8711982008127790
Malaysia,5047040,36972,0.7325481866599036
San Marino,23798,123,0.5168501554752500
Sri Lanka,672068,16834,2.5048060612914169
Western Sahara,NULL,NULL,NULL
Gibraltar,20462,111,0.5424689668654091
Indonesia,6744873,161013,2.3871909819502902
Jamaica,154538,3528,2.2829336473876975
Germany,38338298,170493,0.4447067525011152
Uzbekistan,251839,1637,0.6500184641775102
Philippines,4080182,66332,1.6257117942287869
Lithuania,1313445,9631,0.7332625271709131
Cuba,1112789,8530,0.7665424442549306
England,NULL,NULL,NULL
Iceland,209191,260,0.1242883298038635
Senegal,88970,1971,2.2153534899404294
Saint Martin (French part),12277,46,0.3746843691455567
Barbados,106798,579,0.5421449839884642
United States Virgin Islands,24863,130,0.5228653018541608
Turks and Caicos Islands,6565,38,0.5788271134805788
Guernsey,35235,67,0.1901518376614162
Kuwait,665122,2570,0.3863952778587988
Cyprus,654714,1345,0.2054332120590059
Hungary,2198461,48707,2.2155043914811316
Malawi,88616,2686,3.0310553398934730
Switzerland,4396055,13965,0.3176711847326751
United States,102697566,1117054,1.0877122443194029
Estonia,616478,2965,0.4809579579482155
Algeria,271569,6881,2.5337943579716389
Palestine,703228,5708,0.8116855415313383
Aruba,44082,286,0.6487908897055488
Comoros,9080,161,1.7731277533039648
Ecuador,1059009,36017,3.4010098120034863
Nigeria,266660,3155,1.1831545788644716
Samoa,16675,31,0.1859070464767616
Curacao,45787,301,0.6573918361106864
North Macedonia,347492,9666,2.7816467717242411
El Salvador,201785,4230,2.0962906063384295
Malta,118004,832,0.7050608453950714
Mongolia,1007911,2136,0.2119234734019174
Bahamas,37491,833,2.2218665813128484
Bosnia and Herzegovina,402076,16306,4.0554522030660870
Lebanon,1234352,10863,0.8800569043514330
Montenegro,289292,2808,0.9706455760961243
Ethiopia,500444,7573,1.5132562284691194
Iraq,2465545,25375,1.0291842168769988
Saudi Arabia,832709,9629,1.1563463346739377
American Samoa,8324,34,0.4084574723690533
Chad,7688,194,2.5234131113423517
Laos,218033,758,0.3476537955263653
Macao,NULL,NULL,NULL
Australia,11077631,19511,0.1761297158210090
Kosovo,273621,3202,1.1702318170023500
Mauritius,297262,1044,0.3512053340151112
Belize,70782,688,0.9719985306998955
United Kingdom,24286411,210396,0.8663116176367105
Mexico,7527885,333449,4.4295177197845079
Albania,333808,3601,1.0787638402914250
Myanmar,634076,19490,3.0737640282868300
Sierra Leone,7762,126,1.6232929657304818
Sweden,2701192,23851,0.8829805508086800
Honduras,472439,11111,2.3518380150664954
Kenya,342970,5688,1.6584540921946526
Nicaragua,15682,245,1.5623007269480934
Ukraine,5445979,111558,2.0484471203432845
Trinidad and Tobago,190735,4368,2.2900883424646761
Liechtenstein,21458,87,0.4054431913505453
China,99238143,120894,0.1218221102746753
Argentina,10044957,130472,1.2988806223859395
Fiji,68911,883,1.2813629173861938
Solomon Islands,24575,153,0.6225839267548321
Reunion,494595,921,0.1862129621205229
Armenia,448151,8739,1.9500123842187120
Kiribati,5014,18,0.3589948145193458
Serbia,2515136,17963,0.7141959719076821
Peru,4491653,219741,4.8922078352891463
Czechia,4631804,42635,0.9204836819519997
British Virgin Islands,7305,64,0.8761122518822724
Vatican,26,NULL,NULL
Saint Helena,2166,NULL,NULL
Libya,507206,6437,1.2691095925521386
Burkina Faso,22056,396,1.7954298150163221
India,44707525,530841,1.1873638721893015
Cote d'Ivoire,88299,834,0.9445180579621513
Maldives,185771,311,0.1674104138966792
New Caledonia,80032,314,0.3923430627748900
Croatia,1270513,18044,1.4202137246923093
Jersey,66391,161,0.2425027488665632
Wallis and Futuna,3427,7,0.2042602859644004
Tuvalu,2779,NULL,NULL
Isle of Man,38008,116,0.3051989054935803
Botswana,329812,2795,0.8474524880841207
Dominica,15760,74,0.4695431472081218
Greece,5951892,36517,0.6135359983010444
Austria,6024875,22082,0.3665138280877197
United Arab Emirates,1056485,2349,0.2223410649464971
Equatorial Guinea,17130,183,1.0683012259194396
Russia,22603646,397146,1.7569997335828034
Israel,4812797,12390,0.2574386578116634
