location,population,total_vaccinations,vaccines_per_100_people
Lower middle income,3432097300,4865965758,141.778199528318
North America,600323657,1145729136,190.851905074932
Asia,4721383370,9012329348,190.883235732666
World,7975105024,13362398971,167.551385602919
Low income,737604900,282040403,38.237327734672
Africa,1426736614,789104162,55.3083277079199
Oceania,45038860,80929772,179.688766545157
European Union,450146793,938825964,208.559958351186
South America,436816679,955382466,218.71474051475
Upper middle income,2525921300,5408029113,214.101251412702
Europe,744807803,1378924087,185.138243912839
High income,1250514600,2806276584,224.40974171753
Warning: Null value is eliminated by an aggregate or other SET operation.

(12 rows affected)


Completion time: 2023-07-30T20:58:24.0761502+05:00
