location,population,total_vaccinations,vaccines_per_100_people
Saint Kitts and Nevis,47681,64297,134.848262410604
Antigua and Barbuda,93772,136512,145.578637546389
Puerto Rico,3252412,NULL,NULL
Finland,5540745,13208185,238.382834799291
Sao Tome and Principe,227393,228291,100.394911013092
Martinique,367512,NULL,NULL
Falkland Islands,3801,4407,115.94317284925
Rwanda,13776702,26106436,189.496992821649
Bahrain,1472237,3476633,236.146286229731
South Korea,51815808,129647782,250.208936238146
Eswatini,1201680,843246,70.1722588376273
Northern Mariana Islands,49574,NULL,NULL
Gambia,2705995,1444492,53.3811777183624
Liberia,5302690,4460668,84.1208518695228
Guatemala,17843914,20273678,113.61676591806
Andorra,79843,156957,196.582042257931
Vietnam,98186856,266477589,271.398433411495
Saint Barthelemy,10994,NULL,NULL
New Zealand,5185289,11985710,231.148350651237
Angola,35588996,24867841,69.8750844221624
Nauru,12691,32157,253.384288078166
Uganda,47249588,26406936,55.8881825593908
Monaco,36491,65140,178.509769532213
Egypt,110990096,110505666,99.5635376331236
Kyrgyzstan,6630621,3446396,51.9769716893787
Scotland,5466000,13014285,238.095225027442
Mali,22593598,5369445,23.7653383051252
Italy,59037472,143836381,243.635738671195
Azerbaijan,10358078,13857111,133.780716847276
Brazil,215313504,486436436,225.920077915782
Guinea-Bissau,2105580,594450,28.2321260650272
Democratic Republic of Congo,99010216,13518662,13.6538051790534
Bermuda,64207,132042,205.650474247356
Netherlands,17564020,36104942,205.561949940845
Palau,18084,NULL,NULL
Namibia,2567024,986684,38.4368825534939
Greenland,56494,79738,141.144192303607
Jordan,11285875,10057975,89.1200283540266
Cameroon,27914542,4278883,15.3285087034564
Belarus,9534956,19287182,202.278668092438
Madagascar,29611718,2787212,9.41253053943037
Cayman Islands,68722,151382,220.281714734728
Hong Kong,7488863,20735256,276.881230168051
Marshall Islands,41593,NULL,NULL
Guadeloupe,395762,NULL,NULL
Faeroe Islands,53117,103894,195.594630720861
Wales,3170000,8627539,272.162113564669
Bolivia,12224114,14690530,120.176644295038
San Marino,33690,69338,205.811813594538
Malaysia,33938216,72600394,213.919299706266
Sri Lanka,21832150,40116590,183.750065843263
Western Sahara,576005,NULL,NULL
Gibraltar,32677,132810,406.432659056829
Indonesia,275501344,444303130,161.270766795243
Jamaica,2827382,1520542,53.7791497576203
Germany,83369840,192202395,230.541878213992
Philippines,115559008,170638379,147.663416252241
Uzbekistan,34627648,75503399,218.043682897551
England,56550000,144791181,256.04099204244
Cuba,11212198,43848694,391.080268115137
Lithuania,2750058,4545371,165.282732218739
Iceland,372903,805469,215.999603113947
Senegal,17316452,2929547,16.917709239745
Saint Martin (French part),31816,NULL,NULL
Barbados,281646,381662,135.511244612031
United States Virgin Islands,99479,NULL,NULL
Turks and Caicos Islands,45726,73907,161.630144775401
Guernsey,63329,178525,281.90086690142
Kuwait,4268886,8259320,193.477174138639
Cyprus,896007,1798610,200.736154963075
Hungary,9967304,16701238,167.560234944173
Malawi,20405318,7405348,36.2912648555636
Switzerland,8740471,16935113,193.755153469418
Estonia,1326064,2110871,159.183191761484
United States,338289856,673465377,199.079388593904
Algeria,44903228,15267442,34.0007671608821
Palestine,5250076,3748571,71.4003187763377
Aruba,106459,174566,163.974863562498
Comoros,836783,835021,99.7894316686644
Ecuador,18001002,39553614,219.730068359528
Nigeria,218541216,116606863,53.3569205545191
Curacao,191173,256029,133.925292797623
Samoa,222390,452831,203.620216736364
El Salvador,6336393,11289175,178.164059584057
North Macedonia,2093606,1862732,88.9724236556448
Malta,533293,1380692,258.899329261775
Bosnia and Herzegovina,3233530,1924950,59.5309151299045
Bahamas,409989,364701,88.953849981341
Mongolia,3398373,5492919,161.633787697819
Lebanon,5489744,5814699,105.919310627235
Ethiopia,123379928,53805400,43.6095245573494
Montenegro,627082,679171,108.306569156825
Iraq,44496124,19557364,43.9529609365526
Saudi Arabia,36408824,68454048,188.01499328844
American Samoa,44295,NULL,NULL
Laos,7529477,11111066,147.567566777878
Chad,17723312,6393769,36.075475057935
Macao,695180,1800896,259.054633332374
Australia,26177410,63681652,243.269490755579
Kosovo,1782115,1837446,103.104794022832
Mauritius,1299478,2614619,201.205330140256
Belize,405285,502306,123.938956536758
United Kingdom,67508936,151248820,224.042665996099
Mexico,127504120,223158993,175.021005595741
Albania,2842318,3070468,108.026899171732
Myanmar,54179312,64549994,119.141405856169
Sierra Leone,8605723,7548308,87.7126535446237
Sweden,10549349,25814335,244.70073935368
Honduras,10432858,17101012,163.914931076413
Kenya,54027484,23359310,43.2359759710447
Nicaragua,6948395,15250610,219.483923985323
Ukraine,39701744,31668577,79.7662112777716
Trinidad and Tobago,1531043,1580898,103.256276930171
Argentina,45510324,115214539,253.16132445025
